## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=idling_subsample_25p_dedup.pdf INPUT=idling_subsample_25p_dedup.bam OUTPUT=idling_subsample_25p_dedup_ISM.txt VALIDATION_STRINGENCY=LENIENT    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 12 09:55:47 CST 2021

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
232	52	136	2	242917615	287.209888	211.035925	27091635	FR	49	103	165	223	273	317	357	449	729	953	1381			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	119
3	174
4	203
5	94
6	80
7	117
8	129
9	1251
10	150
11	123
12	76
13	86
14	176
15	184
16	123
17	118
18	117
19	2743
20	1703
21	1169
22	676
23	611
24	669
25	742
26	1695
27	2310
28	2691
29	2954
30	2718
31	2880
32	2890
33	3756
34	5632
35	9963
36	17137
37	23838
38	28444
39	37432
40	53987
41	64694
42	68657
43	63513
44	64288
45	68436
46	68248
47	67917
48	68239
49	74736
50	91467
51	114069
52	137028
53	130961
54	109008
55	98646
56	95315
57	92975
58	88789
59	88623
60	93150
61	102769
62	115588
63	121078
64	121336
65	112623
66	106144
67	99936
68	92103
69	90126
70	88036
71	95470
72	103588
73	108013
74	111351
75	110234
76	106483
77	101377
78	93302
79	89936
80	86832
81	89776
82	93845
83	97985
84	101449
85	102870
86	98628
87	96400
88	89832
89	86643
90	82828
91	82649
92	83816
93	87204
94	88915
95	91735
96	90451
97	87645
98	84416
99	80871
100	78827
101	75621
102	75573
103	77327
104	78803
105	80389
106	80352
107	79525
108	77529
109	73998
110	71757
111	68901
112	68358
113	68007
114	69134
115	71013
116	71100
117	71216
118	69745
119	68007
120	65934
121	63185
122	61564
123	60759
124	62065
125	62570
126	62992
127	63290
128	62508
129	62331
130	61247
131	58912
132	58292
133	56012
134	56043
135	56729
136	57277
137	57790
138	58469
139	58317
140	58226
141	58756
142	56682
143	54410
144	52239
145	51565
146	51776
147	52305
148	53625
149	55184
150	58672
151	62351
152	59015
153	53594
154	50144
155	49245
156	49177
157	49418
158	49918
159	51625
160	51344
161	50865
162	49703
163	49663
164	50421
165	51162
166	52300
167	53529
168	53876
169	53396
170	51398
171	50743
172	50263
173	51267
174	54084
175	57188
176	58148
177	56408
178	55238
179	54133
180	52529
181	51808
182	52103
183	52060
184	52972
185	54556
186	54770
187	54946
188	54727
189	54575
190	53221
191	52880
192	53485
193	54946
194	56338
195	56944
196	57570
197	56987
198	56441
199	55703
200	55840
201	56154
202	57432
203	59302
204	60732
205	60861
206	61098
207	60015
208	58810
209	57953
210	57217
211	57833
212	59169
213	61451
214	62534
215	63298
216	62410
217	61643
218	60308
219	59157
220	57704
221	57601
222	58649
223	59781
224	61624
225	61480
226	61245
227	60448
228	59370
229	58302
230	56602
231	56187
232	55635
233	56369
234	56917
235	57349
236	57692
237	56918
238	56299
239	54819
240	53787
241	52859
242	53004
243	52245
244	52002
245	52441
246	52872
247	52704
248	51976
249	51650
250	50755
251	49905
252	48868
253	48109
254	48529
255	48160
256	48175
257	47587
258	47794
259	47366
260	46718
261	46296
262	45586
263	45053
264	44687
265	43894
266	44239
267	44445
268	43767
269	43608
270	42815
271	42191
272	42345
273	41727
274	41274
275	40842
276	40612
277	40558
278	40895
279	40753
280	40378
281	39885
282	39240
283	39116
284	38766
285	38367
286	37879
287	37944
288	38087
289	37843
290	37861
291	37815
292	37046
293	37257
294	36559
295	36616
296	36011
297	35692
298	36149
299	36611
300	36212
301	36231
302	36145
303	35948
304	35689
305	34730
306	34511
307	34458
308	34590
309	34696
310	35192
311	35034
312	34866
313	34403
314	34123
315	34050
316	33339
317	33523
318	33322
319	34031
320	33721
321	33804
322	33951
323	33579
324	33753
325	33232
326	33032
327	33204
328	33094
329	32957
330	33172
331	33359
332	33497
333	33186
334	33517
335	33255
336	32641
337	32822
338	32786
339	32962
340	32662
341	33023
342	33117
343	33016
344	33222
345	33102
346	32906
347	32669
348	33234
349	33281
350	32876
351	32916
352	32983
353	33073
354	33492
355	32956
356	33274
357	33543
358	33344
359	33482
360	33468
361	33198
362	33307
363	33259
364	33454
365	33412
366	33699
367	33335
368	33458
369	33713
370	33296
371	33300
372	33738
373	33955
374	33859
375	33576
376	33269
377	33715
378	33592
379	33867
380	33810
381	33726
382	34176
383	34009
384	33976
385	33634
386	33880
387	33948
388	33869
389	34084
390	34037
391	34121
392	33935
393	33991
394	33825
395	33487
396	33657
397	33927
398	33390
399	33672
400	33560
401	33545
402	33471
403	33469
404	33330
405	33195
406	33219
407	33117
408	32907
409	32763
410	32562
411	32696
412	32210
413	32560
414	32218
415	32226
416	31914
417	31504
418	31708
419	32095
420	31370
421	31190
422	31237
423	31047
424	30641
425	30624
426	30117
427	30348
428	30143
429	30061
430	29754
431	29525
432	29357
433	29490
434	29184
435	29030
436	28716
437	28363
438	28521
439	28352
440	28111
441	27615
442	27494
443	27543
444	27699
445	26994
446	26794
447	26486
448	26360
449	26171
450	26422
451	25751
452	26205
453	26168
454	25393
455	25652
456	25264
457	25111
458	25077
459	24885
460	24690
461	24303
462	24215
463	23978
464	23658
465	23645
466	23850
467	23536
468	23636
469	23308
470	23123
471	22947
472	22863
473	22570
474	22824
475	22367
476	22594
477	22268
478	21922
479	21933
480	21717
481	21649
482	21625
483	21500
484	21355
485	21490
486	21272
487	21300
488	21113
489	20780
490	20696
491	20787
492	20697
493	20399
494	20430
495	20578
496	20330
497	20589
498	20202
499	20048
500	19914
501	19758
502	19857
503	19713
504	19878
505	19652
506	19550
507	19643
508	19497
509	19355
510	19275
511	19177
512	19404
513	19171
514	19140
515	19103
516	18826
517	18807
518	18912
519	18767
520	18567
521	18551
522	18705
523	18646
524	18634
525	18629
526	18426
527	18723
528	18352
529	18421
530	18425
531	18398
532	18359
533	18253
534	18197
535	18379
536	18367
537	18292
538	18481
539	18200
540	17872
541	18091
542	18160
543	18030
544	18023
545	18039
546	17925
547	17821
548	17847
549	17737
550	17463
551	17767
552	17710
553	18000
554	17519
555	17773
556	17821
557	17799
558	18014
559	17628
560	17827
561	17451
562	17585
563	17699
564	17507
565	17402
566	17432
567	17391
568	17569
569	17513
570	17390
571	17382
572	17325
573	17324
574	17342
575	17124
576	17214
577	17303
578	17435
579	17084
580	17200
581	17195
582	17172
583	16866
584	17122
585	16742
586	17036
587	16856
588	16521
589	16848
590	16835
591	16748
592	16426
593	16359
594	16610
595	16178
596	16288
597	16488
598	16338
599	16149
600	15927
601	16152
602	15905
603	15933
604	16147
605	15865
606	16102
607	15641
608	15821
609	15631
610	15435
611	15248
612	15289
613	15084
614	15216
615	14916
616	14908
617	14738
618	14879
619	14774
620	14673
621	14679
622	14428
623	14489
624	14184
625	14164
626	13932
627	13886
628	13848
629	13675
630	13457
631	13638
632	13628
633	13680
634	13481
635	13236
636	13208
637	13020
638	13186
639	12826
640	12903
641	12614
642	12476
643	12703
644	12347
645	12396
646	12211
647	12295
648	12076
649	12006
650	11995
651	11748
652	11817
653	11649
654	11585
655	11503
656	11456
657	11294
658	11318
659	11341
660	11024
661	11058
662	10920
663	10761
664	10788
665	10631
666	10701
667	10576
668	10729
669	10593
670	10279
671	10307
672	10258
673	10224
674	10117
675	9935
676	10036
677	9985
678	10162
679	9834
680	9640
681	9670
682	9511
683	9501
684	9607
685	9310
686	9366
687	9467
688	9241
689	9306
690	9222
691	9222
692	9084
693	9098
694	8919
695	9101
696	8895
697	8896
698	8799
699	8796
700	8718
701	8711
702	8548
703	8614
704	8663
705	8440
706	8519
707	8355
708	8386
709	8129
710	8107
711	8233
712	8234
713	8214
714	8209
715	7989
716	7958
717	8084
718	8082
719	8051
720	7912
721	8245
722	7878
723	7938
724	7932
725	7740
726	7735
727	7720
728	7751
729	7657
730	7626
731	7722
732	7744
733	7699
734	7591
735	7534
736	7480
737	7392
738	7497
739	7436
740	7450
741	7301
742	7345
743	7304
744	7240
745	7232
746	7244
747	7125
748	7192
749	7020
750	7135
751	7223
752	7157
753	6937
754	7135
755	7254
756	6929
757	6950
758	7117
759	6969
760	6836
761	6751
762	6805
763	6761
764	6715
765	6672
766	6705
767	6435
768	6721
769	6550
770	6561
771	6520
772	6657
773	6518
774	6484
775	6504
776	6351
777	6320
778	6363
779	6414
780	6307
781	6302
782	6153
783	6146
784	6260
785	6054
786	6108
787	6032
788	5954
789	5978
790	5879
791	5966
792	5925
793	5856
794	6037
795	5711
796	5667
797	5747
798	5557
799	5659
800	5656
801	5485
802	5493
803	5439
804	5457
805	5377
806	5328
807	5331
808	5268
809	5370
810	5155
811	5034
812	5175
813	5135
814	4939
815	4992
816	4965
817	4859
818	4895
819	4894
820	4779
821	4711
822	4754
823	4697
824	4775
825	4659
826	4590
827	4567
828	4669
829	4512
830	4405
831	4280
832	4302
833	4309
834	4301
835	4330
836	4205
837	4161
838	4180
839	4154
840	4064
841	4076
842	4083
843	4039
844	3874
845	3962
846	3814
847	3921
848	3778
849	3802
850	3720
851	3696
852	3589
853	3676
854	3684
855	3720
856	3527
857	3502
858	3496
859	3451
860	3306
861	3338
862	3374
863	3473
864	3464
865	3286
866	3352
867	3217
868	3263
869	3143
870	3164
871	3154
