## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=idling_subsample_33p_dedup.pdf INPUT=idling_subsample_33p_dedup.bam OUTPUT=idling_subsample_33p_dedup_ISM.txt VALIDATION_STRINGENCY=LENIENT    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 12 10:00:53 CST 2021

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
231	52	136	2	242917615	286.700108	211.39018	34502976	FR	49	103	165	223	273	315	355	449	731	957	1389			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	158
3	216
4	261
5	134
6	106
7	159
8	170
9	1598
10	186
11	148
12	95
13	119
14	225
15	232
16	158
17	157
18	150
19	3558
20	2220
21	1479
22	892
23	779
24	870
25	963
26	2211
27	2994
28	3474
29	3846
30	3559
31	3708
32	3688
33	4907
34	7260
35	12758
36	22097
37	30756
38	36731
39	48251
40	69425
41	83294
42	88113
43	81530
44	82576
45	87982
46	87810
47	87355
48	87707
49	96054
50	117210
51	146076
52	176379
53	167727
54	139598
55	126100
56	122282
57	119056
58	113873
59	113585
60	119122
61	131860
62	147805
63	154947
64	155364
65	144631
66	136125
67	128175
68	118019
69	115814
70	112681
71	122151
72	132748
73	138684
74	142505
75	141168
76	135983
77	129794
78	119271
79	115099
80	111280
81	114995
82	119854
83	125408
84	129666
85	131202
86	126577
87	123387
88	114946
89	110599
90	106195
91	105715
92	107151
93	111676
94	113905
95	117503
96	115627
97	111793
98	107724
99	103625
100	100841
101	96913
102	96476
103	98648
104	100398
105	102651
106	102522
107	101583
108	98790
109	94580
110	91739
111	88287
112	87240
113	86990
114	88418
115	90450
116	90725
117	91062
118	89069
119	86902
120	84122
121	80606
122	78783
123	77816
124	79317
125	80145
126	80473
127	80866
128	79905
129	79650
130	77927
131	75742
132	74474
133	71603
134	71898
135	72425
136	73018
137	73824
138	74417
139	74382
140	74169
141	75226
142	72413
143	69311
144	66969
145	65821
146	66142
147	66493
148	68340
149	70484
150	74871
151	79548
152	75356
153	68330
154	64138
155	62883
156	63045
157	62824
158	63593
159	65771
160	65682
161	64848
162	63426
163	63462
164	64257
165	65331
166	66498
167	67986
168	68752
169	68183
170	65629
171	64806
172	64059
173	65625
174	68857
175	72996
176	74106
177	72326
178	70403
179	68961
180	67131
181	66036
182	66435
183	66478
184	67624
185	69568
186	70135
187	70318
188	69800
189	69734
190	68087
191	67461
192	68137
193	70037
194	71792
195	72860
196	73372
197	72613
198	71911
199	71006
200	71219
201	71547
202	73233
203	75694
204	77390
205	77644
206	77932
207	76672
208	75013
209	73699
210	73036
211	74046
212	75494
213	78302
214	79770
215	80561
216	79906
217	78709
218	76707
219	75181
220	73480
221	73625
222	74384
223	76259
224	78487
225	78422
226	78291
227	77100
228	75606
229	74273
230	72069
231	71409
232	70937
233	71903
234	72839
235	72932
236	73208
237	72567
238	71765
239	70002
240	68535
241	67411
242	67377
243	66606
244	66300
245	66666
246	67233
247	67062
248	66262
249	65729
250	64540
251	63279
252	62067
253	61282
254	61633
255	61241
256	61350
257	60679
258	60783
259	60229
260	59470
261	58733
262	57887
263	57087
264	56689
265	55784
266	56223
267	56265
268	55677
269	55504
270	54496
271	53760
272	53903
273	52942
274	52415
275	51735
276	51678
277	51562
278	51757
279	51841
280	51165
281	50717
282	49874
283	49609
284	49084
285	48670
286	48300
